🏥  Medical Intake Question Bank — Indian Patients,,,,,,
Hackathon Task 3 · Prepared questions for common patient complaints · India-contextualised,,,,,,
#,Complaint Category,Question (English),Hindi / Hinglish Version,Question Type,Answer Options / Scale,Indian Context Note
  GENERAL TRIAGE,,,,,,
1,General,What is your main problem today?,Aaj aapki sabse badi pareshani kya hai?,Open-ended,Free text,Always first question
2,General,How long have you had this problem?,Yeh pareshani kab se hai?,Open-ended,Free text / Days-Weeks-Months,Duration is critical for triage
3,General,Did this start suddenly or slowly?,Yeh achanak aaya ya dheere dheere?,Single choice,Sudden / Gradually,Helps differentiate acute vs chronic
4,General,"Is this the first time, or has it happened before?",Pehle bhi aisa hua hai?,Single choice,First time / Repeated,Important for recurrence pattern
5,General,Are you taking any medicines currently?,Kya aap koi dawai le rahe hain abhi?,Yes/No + detail,Yes (list) / No,Include Ayurvedic/homeopathic/OTC
6,General,Do you have any known allergies to medicine?,Koi dawai se allergy hai aapko?,Yes/No + detail,Yes (which) / No / Don't know,
7,General,"Do you have any chronic illness (diabetes, BP, etc.)?","Koi purani bimari hai? (Sugar, BP, dil ki bimari?)",Multi-select,Diabetes / Hypertension / Heart / Asthma / None / Other,Use local terms: Sugar = Diabetes
8,General,Have you been admitted to hospital before for this?,Pehle kabhi hospital mein admit hue hain iske liye?,Yes/No,Yes / No,
9,General,What is your age?,Aapki umar kitni hai?,Numeric,Years,
10,General,What is your gender?,Aap kya hain?,Single choice,Male / Female / Other,
11,General,Do you smoke or consume tobacco?,"Beedi, cigarette, gutkha, pan masala lete hain?",Single choice,Yes-daily / Occasionally / No,Include gutkha/khaini specific to India
12,General,Do you consume alcohol?,Sharaab peete hain?,Single choice,Yes-daily / Occasionally / No,May underreport; ask sensitively
  PAIN (Universal for any pain complaint),,,,,,
13,Pain,Where exactly is the pain?,Dard kahan ho raha hai? (Angulee se batayein),Body map / Open,Body region selection,Offer body diagram if possible
14,Pain,Does the pain spread anywhere else?,Dard kahin aur bhi jaata hai?,Yes/No + location,Yes (where) / No,"E.g., chest pain radiating to left arm"
15,Pain,How severe is the pain on a scale of 0–10?,"0 se 10 mein dard kitna hai? (0=bilkul nahi, 10=bahut zyada)",Numeric scale,0–10,Use visual pain scale for illiteracy
16,Pain,What does the pain feel like?,Dard kaisa lagta hai?,Multi-select,Throbbing/Burning/Stabbing/Pressure/Dull ache/Sharp/Cramping,
17,Pain,Is the pain constant or does it come and go?,Dard lagaataar rehta hai ya aata-jaata hai?,Single choice,Constant / Intermittent,
18,Pain,What makes the pain worse?,Kya karne se dard badhta hai?,Multi-select,Movement / Eating / Lying down / Pressure / Cold / Heat / Nothing,
19,Pain,What gives you relief from the pain?,Kya karne se aaram milta hai?,Multi-select,Rest / Medicine / Heat/Seka / Cold / Eating / Nothing,Seka (warm fomentation) is common in India
20,Pain,Does the pain wake you up at night?,Raat ko neend mein bhi dard hota hai?,Yes/No,Yes / No,Night pain = serious red flag
  FEVER,,,,,,
21,Fever,Since when do you have fever?,Bukhar kab se hai?,Duration,Hours / Days,
22,Fever,How high was the highest temperature?,Sabse zyada temperature kitna tha?,Numeric,°F or °C,Many Indians use °F; offer both
23,Fever,Is the fever continuous or does it come and go?,Bukhar lagaataar rehta hai ya chadta-utarta hai?,Single choice,Continuous / Intermittent / Evening spikes,Evening spikes → TB suspicion
24,Fever,Do you have chills or body shaking with fever?,Thand lagti hai ya kaampna hota hai bukhar ke saath?,Yes/No,Yes / No,Rigors suggest malaria/sepsis
25,Fever,Is there sweating after the fever breaks?,Bukhar utarne ke baad bahut paseena aata hai?,Yes/No,Yes / No,Classic malaria pattern
26,Fever,Do you have a rash anywhere on the body?,Shareer par koi daane ya laal dhabbey hain?,Yes/No + location,Yes (where) / No,Dengue / Typhoid / Viral
27,Fever,Have you travelled recently to a forested or rural area?,Haal mein jungle ya gaon gaye the?,Yes/No,Yes / No,Malaria/vector-borne disease screening
28,Fever,Is there anyone else at home with similar fever?,Ghar mein kisi aur ko bhi aisa bukhar hai?,Yes/No,Yes / No,Cluster = dengue / typhoid outbreak
29,Fever,Have you had dengue or malaria before?,Pehle kabhi dengue ya malaria hua hai?,Yes/No,Yes / No,
30,Fever,Do you have pain behind your eyes?,Aankhon ke peechhe dard hota hai?,Yes/No,Yes / No,Characteristic of dengue
  HEADACHE,,,,,,
31,Headache,Where in the head is the pain?,Sar mein dard kahan hota hai?,Single choice,Front / Back / Both sides / One side / Whole head,
32,Headache,For how long does each headache episode last?,Ek baar mein kitni der tak dard rehta hai?,Duration,Minutes / Hours / Days,
33,Headache,Do you see flashing lights or blurred vision before headache?,Dard se pehle aankhon ke aage chamak ya dhundla dikhai deta hai?,Yes/No,Yes / No,Migraine aura screening
34,Headache,Is the headache with nausea or vomiting?,Dard ke saath ji machlaata hai ya ulti hoti hai?,Yes/No,Yes / No,Migraine / raised ICP
35,Headache,Does light or noise make it worse?,Tej roshni ya awaaz se dard badhta hai?,Yes/No,Yes / No,Photophobia / phonophobia = migraine
36,Headache,Do you have high BP (known)?,Aapko pehle se high BP ki bimari hai?,Yes/No,Yes / No / Don't know,Hypertensive headache common
37,Headache,Do you strain your eyes for long hours (phone/reading)?,Lambi der tak mobile ya kitaab dekhtey hain?,Yes/No,Yes / No,Eye-strain headache very common in students
